section,table_num,table_code,table_title,table_records,table_html,unitid,file,year
A,1,A1,Address Information,"[[{0: 'Boise State University', 1: 'Boise State University'}, {0: '1910 University Dr.', 1: '1910 University Dr.'}, {0: 'Boise, Idaho 83725', 1: 'Boise, Idaho 83725'}, {0: '(208) 426-1000', 1: '(208) 426-1000'}, {0: 'www.boisestate.edu', 1: 'www.boisestate.edu'}, {0: '(208)', 1: '426-1156'}, {0: '(800)', 1: '824-7017'}, {0: '1910 University Dr.', 1: '1910 University Dr.'}, {0: 'Boise, Idaho 83725', 1: 'Boise, Idaho 83725'}, {0: 'admissions@boisestate.edu', 1: 'admissions@boisestate.edu'}]]","<table> <tr> <td colspan=""2""> Boise State University </td> </tr> <tr> <td colspan=""2""> 1910 University Dr. </td> </tr> <tr> <td colspan=""2""> Boise, Idaho 83725 </td> </tr> <tr> <td colspan=""2""> (208) 426-1000 </td> </tr> <tr> <td colspan=""2""> www.boisestate.edu </td> </tr> <tr> <td> (208) </td> <td> 426-1156 </td> </tr> <tr> <td> (800) </td> <td> 824-7017 </td> </tr> <tr> <td colspan=""2""> 1910 University Dr. </td> </tr> <tr> <td colspan=""2""> Boise, Idaho 83725 </td> </tr> <tr> <td colspan=""2""> admissions@boisestate.edu </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
B,1,B1,Institutional Enrollment - Men and Women,"[[{0: 'Undergraduate Students: Full-Time', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'Unknown'}, {0: 'Degree-seeking, first-time first-year\nstudents', 1: '1336', 2: '1,955', 3: '', 4: ''}, {0: 'Other first-year, degree-seeking', 1: '489', 2: '608', 3: '', 4: ''}, {0: 'All other degree-seeking', 1: '4,247', 2: '5,457', 3: '', 4: ''}, {0: 'Total degree-seeking', 1: '6,072', 2: '8,020', 3: '0', 4: '0'}, {0: 'All other undergraduates enrolled in credit', 1: '12', 2: '15', 3: '', 4: ''}, {0: 'Total undergraduate Full-Time Students', 1: '6,084', 2: '8,035', 3: '0', 4: '0'}], [{0: 'Undergraduate Students: Part-Time', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'Unknown'}, {0: 'Degree-seeking, first-time first-year\nstudents', 1: '52', 2: '79', 3: '', 4: ''}, {0: 'Other first-year, degree-seeking', 1: '281', 2: '536', 3: '', 4: ''}, {0: 'All other degree-seeking', 1: '1,147', 2: '1,496', 3: '', 4: ''}, {0: 'Total degree-seeking', 1: '1,480', 2: '2,111', 3: '0', 4: '0'}, {0: 'All other undergraduates enrolled in credit', 1: '2,832', 2: '3,488', 3: '', 4: ''}, {0: 'Total undergraduate Part-Time Students', 1: '4,312', 2: '5,599', 3: '0', 4: '0'}], [{0: 'Undergraduate Students: All', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'Unknown'}, {0: 'Total undergraduate Students', 1: '10,396', 2: '13,634', 3: '0', 4: '0'}], [{0: 'Graduate Students: Full-Time', 1: 'Graduate Students: Full-Time', 2: 'Graduate Students: Full-Time', 3: 'Graduate Students: Full-Time', 4: 'Graduate Students: Full-Time'}, {0: 'Degree-seeking, first-time', 1: '336', 2: '509', 3: '', 4: ''}, {0: 'All other degree-seeking', 1: '148', 2: '244', 3: '', 4: ''}, {0: 'All other graduates enrolled in credit', 1: '8', 2: '15', 3: '', 4: ''}, {0: 'Total graduate Full-Time Students', 1: '492', 2: '768', 3: '0', 4: '0'}], [{0: 'Graduate Students: Part-Time', 1: 'Graduate Students: Part-Time', 2: 'Graduate Students: Part-Time', 3: 'Graduate Students: Part-Time', 4: 'Graduate Students: Part-Time'}, {0: 'Degree-seeking, first-time', 1: '527', 2: '786', 3: '', 4: ''}, {0: 'All other degree-seeking', 1: '120', 2: '134', 3: '', 4: ''}, {0: 'All other graduates enrolled in credit', 1: '86', 2: '307', 3: '', 4: ''}, {0: 'Total graduate Part-Time Students', 1: '733', 2: '1227', 3: '0', 4: '0'}], [{0: 'Graduate Students: All', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'Unknown'}, {0: 'Total Graduate Students', 1: '1225', 2: '1995', 3: '0', 4: '0'}], [{0: 'All Students: Total', 1: 'Men', 2: 'Women', 3: 'Another Gender', 4: 'Unknown'}, {0: 'Total all students', 1: '6,576', 2: '8,803', 3: '0', 4: '0'}]]","<table> <tr> <td> Undergraduate Students: Full-Time </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> Unknown </td> </tr> <tr> <td> Degree-seeking, first-time first-year <br/> students </td> <td> 1336 </td> <td> 1,955 </td> <td> </td> <td> </td> </tr> <tr> <td> Other first-year, degree-seeking </td> <td> 489 </td> <td> 608 </td> <td> </td> <td> </td> </tr> <tr> <td> All other degree-seeking </td> <td> 4,247 </td> <td> 5,457 </td> <td> </td> <td> </td> </tr> <tr> <td> Total degree-seeking </td> <td> 6,072 </td> <td> 8,020 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> All other undergraduates enrolled in credit </td> <td> 12 </td> <td> 15 </td> <td> </td> <td> </td> </tr> <tr> <td> Total undergraduate Full-Time Students </td> <td> 6,084 </td> <td> 8,035 </td> <td> 0 </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Undergraduate Students: Part-Time </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> Unknown </td> </tr> <tr> <td> Degree-seeking, first-time first-year <br/> students </td> <td> 52 </td> <td> 79 </td> <td> </td> <td> </td> </tr> <tr> <td> Other first-year, degree-seeking </td> <td> 281 </td> <td> 536 </td> <td> </td> <td> </td> </tr> <tr> <td> All other degree-seeking </td> <td> 1,147 </td> <td> 1,496 </td> <td> </td> <td> </td> </tr> <tr> <td> Total degree-seeking </td> <td> 1,480 </td> <td> 2,111 </td> <td> 0 </td> <td> 0 </td> </tr> <tr> <td> All other undergraduates enrolled in credit </td> <td> 2,832 </td> <td> 3,488 </td> <td> </td> <td> </td> </tr> <tr> <td> Total undergraduate Part-Time Students </td> <td> 4,312 </td> <td> 5,599 </td> <td> 0 </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Undergraduate Students: All </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> Unknown </td> </tr> <tr> <td> Total undergraduate Students </td> <td> 10,396 </td> <td> 13,634 </td> <td> 0 </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td colspan=""5""> Graduate Students: Full-Time </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 336 </td> <td> 509 </td> <td> </td> <td> </td> </tr> <tr> <td> All other degree-seeking </td> <td> 148 </td> <td> 244 </td> <td> </td> <td> </td> </tr> <tr> <td> All other graduates enrolled in credit </td> <td> 8 </td> <td> 15 </td> <td> </td> <td> </td> </tr> <tr> <td> Total graduate Full-Time Students </td> <td> 492 </td> <td> 768 </td> <td> 0 </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td colspan=""5""> Graduate Students: Part-Time </td> </tr> <tr> <td> Degree-seeking, first-time </td> <td> 527 </td> <td> 786 </td> <td> </td> <td> </td> </tr> <tr> <td> All other degree-seeking </td> <td> 120 </td> <td> 134 </td> <td> </td> <td> </td> </tr> <tr> <td> All other graduates enrolled in credit </td> <td> 86 </td> <td> 307 </td> <td> </td> <td> </td> </tr> <tr> <td> Total graduate Part-Time Students </td> <td> 733 </td> <td> 1227 </td> <td> 0 </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> Graduate Students: All </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> Unknown </td> </tr> <tr> <td> Total Graduate Students </td> <td> 1225 </td> <td> 1995 </td> <td> 0 </td> <td> 0 </td> </tr> </table><div class=""separator""></div><table> <tr> <td> All Students: Total </td> <td> Men </td> <td> Women </td> <td> Another Gender </td> <td> Unknown </td> </tr> <tr> <td> Total all students </td> <td> 6,576 </td> <td> 8,803 </td> <td> 0 </td> <td> 0 </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
C,1,C1,"First-time, first-year students: Provide the number of degree-seeking, first-time, first-year students who","[[{0: 'First-Time, First-Year Student Applicants', 1: 'Total'}, {0: 'Total first-time, first-year men who applied', 1: '6676'}, {0: 'Total first-time, first-year women who applied', 1: '9406'}, {0: 'Total first-time, first-year another gender who applied', 1: ''}, {0: 'Total first-time, first-year unknown gender who applied', 1: ''}], [{0: 'First-Time, First-Year Student Admits', 1: 'Total'}, {0: 'Total first-time, first-year men who were admitted', 1: '5749'}, {0: 'Total first-time, first-year women who were admitted', 1: '8276'}, {0: 'Total first-time, first-year another gender who were admitted', 1: ''}, {0: 'Total first-time, first-year unknown gender who were admitted', 1: ''}], [{0: 'First-Time, First-Year Student Enrollees by Status', 1: 'Total'}, {0: 'Total full-time, first-time, first-year men who enrolled', 1: '1318'}, {0: 'Total part-time, first-time, first-year men who enrolled', 1: '41'}, {0: 'Total full-time, first-time, first-year women who enrolled', 1: '1948'}, {0: 'Total part-time, first-time, first-year women who enrolled', 1: '72'}, {0: 'Total full-time, first-time, first-year another gender who enrolled', 1: ''}, {0: 'Total part-time, first-time, first-year another gender who enrolled', 1: ''}, {0: 'Total full-time, first-time, first-year unknown gender who enrolled', 1: ''}, {0: 'Total part-time, first-time, first-year unknown gender who enrolled', 1: ''}], [{0: 'First-Time, First-Year Student Applicants', 1: 'Total', 2: 'In-State', 3: 'Out-of-State', 4: 'International'}, {0: 'Total first-time, first-year who applied', 1: '16082', 2: '9420', 3: '6588', 4: '74'}, {0: 'Total first-time, first-year who were admitted', 1: '14025', 2: '7957', 3: '6012', 4: '56'}, {0: 'Total first-time, first-year who enrolled', 1: '3379', 2: '2154', 3: '1212', 4: '13'}]]","<table> <tr> <td> First-Time, First-Year Student Applicants </td> <td> Total </td> </tr> <tr> <td> Total first-time, first-year men who applied </td> <td> 6676 </td> </tr> <tr> <td> Total first-time, first-year women who applied </td> <td> 9406 </td> </tr> <tr> <td> Total first-time, first-year another gender who applied </td> <td> </td> </tr> <tr> <td> Total first-time, first-year unknown gender who applied </td> <td> </td> </tr> </table><div class=""separator""></div><table> <tr> <td> First-Time, First-Year Student Admits </td> <td> Total </td> </tr> <tr> <td> Total first-time, first-year men who were admitted </td> <td> 5749 </td> </tr> <tr> <td> Total first-time, first-year women who were admitted </td> <td> 8276 </td> </tr> <tr> <td> Total first-time, first-year another gender who were admitted </td> <td> </td> </tr> <tr> <td> Total first-time, first-year unknown gender who were admitted </td> <td> </td> </tr> </table><div class=""separator""></div><table> <tr> <td> First-Time, First-Year Student Enrollees by Status </td> <td> Total </td> </tr> <tr> <td> Total full-time, first-time, first-year men who enrolled </td> <td> 1318 </td> </tr> <tr> <td> Total part-time, first-time, first-year men who enrolled </td> <td> 41 </td> </tr> <tr> <td> Total full-time, first-time, first-year women who enrolled </td> <td> 1948 </td> </tr> <tr> <td> Total part-time, first-time, first-year women who enrolled </td> <td> 72 </td> </tr> <tr> <td> Total full-time, first-time, first-year another gender who enrolled </td> <td> </td> </tr> <tr> <td> Total part-time, first-time, first-year another gender who enrolled </td> <td> </td> </tr> <tr> <td> Total full-time, first-time, first-year unknown gender who enrolled </td> <td> </td> </tr> <tr> <td> Total part-time, first-time, first-year unknown gender who enrolled </td> <td> </td> </tr> </table><div class=""separator""></div><table> <tr> <td> First-Time, First-Year Student Applicants </td> <td> Total </td> <td> In-State </td> <td> Out-of-State </td> <td> International </td> </tr> <tr> <td> Total first-time, first-year who applied </td> <td> 16082 </td> <td> 9420 </td> <td> 6588 </td> <td> 74 </td> </tr> <tr> <td> Total first-time, first-year who were admitted </td> <td> 14025 </td> <td> 7957 </td> <td> 6012 </td> <td> 56 </td> </tr> <tr> <td> Total first-time, first-year who enrolled </td> <td> 3379 </td> <td> 2154 </td> <td> 1212 </td> <td> 13 </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
C,5,C5,Distribution of high school units required and/or recommended. Specify the distribution of academic,"[[{0: 'Distribution of high school units', 1: 'Required', 2: 'Recommended'}, {0: 'Total academic units', 1: '', 2: ''}, {0: 'English', 1: '', 2: '4.0'}, {0: 'Mathematics', 1: '', 2: '3.0'}, {0: 'Science', 1: '', 2: '3.0'}, {0: 'Of these, units that must be\nlab', 1: '', 2: '1.0'}, {0: 'Foreign language', 1: '', 2: '1.0'}, {0: 'Social studies', 1: '', 2: '2.0'}, {0: 'History', 1: '', 2: '2.0'}, {0: 'Academic electives', 1: '', 2: ''}, {0: 'Computer Science', 1: '', 2: '1.0'}, {0: 'Visual/Performing Arts', 1: '', 2: '2.0'}, {0: 'Other (specify) : Debate, Keyboarding, Studio/Performing Arts', 1: 'Other (specify) : Debate, Keyboarding, Studio/Performing Arts', 2: 'Other (specify) : Debate, Keyboarding, Studio/Performing Arts'}]]","<table> <tr> <td> Distribution of high school units </td> <td> Required </td> <td> Recommended </td> </tr> <tr> <td> Total academic units </td> <td> </td> <td> </td> </tr> <tr> <td> English </td> <td> </td> <td> 4.0 </td> </tr> <tr> <td> Mathematics </td> <td> </td> <td> 3.0 </td> </tr> <tr> <td> Science </td> <td> </td> <td> 3.0 </td> </tr> <tr> <td> Of these, units that must be <br/> lab </td> <td> </td> <td> 1.0 </td> </tr> <tr> <td> Foreign language </td> <td> </td> <td> 1.0 </td> </tr> <tr> <td> Social studies </td> <td> </td> <td> 2.0 </td> </tr> <tr> <td> History </td> <td> </td> <td> 2.0 </td> </tr> <tr> <td> Academic electives </td> <td> </td> <td> </td> </tr> <tr> <td> Computer Science </td> <td> </td> <td> 1.0 </td> </tr> <tr> <td> Visual/Performing Arts </td> <td> </td> <td> 2.0 </td> </tr> <tr> <td colspan=""3""> Other (specify) : Debate, Keyboarding, Studio/Performing Arts </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
C,7,C7,"Relative importance of each of the following academic and nonacademic factors in your first-time,","[[{0: 'Academic', 1: 'Very Important', 2: 'Important', 3: 'Considered', 4: 'Not Considered'}, {0: 'Rigor of secondary school record', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Class rank', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Academic GPA', 1: 'X', 2: '', 3: '', 4: ''}, {0: 'Standardized test scores', 1: '', 2: '', 3: 'X', 4: ''}, {0: 'Application Essay', 1: '', 2: '', 3: 'X', 4: ''}, {0: 'Recommendation(s)', 1: '', 2: '', 3: 'X', 4: ''}, {0: 'Nonacademic', 1: 'Very Important', 2: 'Important', 3: 'Considered', 4: 'Not Considered'}, {0: 'Interview', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Extracurricular activities', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Talent/ability', 1: '', 2: '', 3: 'X', 4: ''}, {0: 'Character/personal qualities', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'First generation', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Alumni/ae relation', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Geographical residence', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'State residency', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Religious affiliation/commitment', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Volunteer work', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Work experience', 1: '', 2: '', 3: '', 4: 'X'}, {0: 'Level of applicant’s interest', 1: '', 2: '', 3: '', 4: 'X'}]]",<table> <tr> <td> Academic </td> <td> Very Important </td> <td> Important </td> <td> Considered </td> <td> Not Considered </td> </tr> <tr> <td> Rigor of secondary school record </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Class rank </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Academic GPA </td> <td> X </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Standardized test scores </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td> Application Essay </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td> Recommendation(s) </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td> Nonacademic </td> <td> Very Important </td> <td> Important </td> <td> Considered </td> <td> Not Considered </td> </tr> <tr> <td> Interview </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Extracurricular activities </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Talent/ability </td> <td> </td> <td> </td> <td> X </td> <td> </td> </tr> <tr> <td> Character/personal qualities </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> First generation </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Alumni/ae relation </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Geographical residence </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> State residency </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Religious affiliation/commitment </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Volunteer work </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Work experience </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> <tr> <td> Level of applicant’s interest </td> <td> </td> <td> </td> <td> </td> <td> X </td> </tr> </table>,142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
C,8,C8,A,"[[{0: 'Admission', 1: 'Required to be\nconsidered for\nadmission', 2: 'Required some for', 3: 'Recommended', 4: 'Not required for\nadmission, but\nconsidered if\nsubmitted', 5: 'considered Not for\nadmission,\nsubmitted even if'}, {0: 'SAT or ACT', 1: '', 2: '', 3: '', 4: '', 5: ''}, {0: 'ACT Only', 1: '', 2: '', 3: '', 4: '', 5: ''}, {0: 'SAT Only', 1: '', 2: '', 3: '', 4: '', 5: ''}]]","<table> <tr> <td> Admission </td> <td> Required to be <br/> considered for <br/> admission </td> <td> Required some for </td> <td> Recommended </td> <td> Not required for <br/> admission, but <br/> considered if <br/> submitted </td> <td> considered Not for <br/> admission, <br/> submitted even if </td> </tr> <tr> <td> SAT or ACT </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> ACT Only </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> SAT Only </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
C,10,C10,"Percent of all degree-seeking, first-time, first-year students who had high school class rank within","[[{0: 'Assessment', 1: 'Percent'}, {0: 'Percent in top tenth of high school graduating class', 1: ''}, {0: 'Percent in top quarter of high school graduating class', 1: ''}, {0: 'Percent in top half of high school graduating class', 1: ''}, {0: 'Percent in bottom half of high school graduating class', 1: ''}, {0: 'Percent in bottom quarter of high school graduating class', 1: '25%'}, {0: 'Percent of total first-time, first-year students who submitted high school\nclass rank:', 1: '0.1%'}]]","<table> <tr> <td> Assessment </td> <td> Percent </td> </tr> <tr> <td> Percent in top tenth of high school graduating class </td> <td> </td> </tr> <tr> <td> Percent in top quarter of high school graduating class </td> <td> </td> </tr> <tr> <td> Percent in top half of high school graduating class </td> <td> </td> </tr> <tr> <td> Percent in bottom half of high school graduating class </td> <td> </td> </tr> <tr> <td> Percent in bottom quarter of high school graduating class </td> <td> 25% </td> </tr> <tr> <td> Percent of total first-time, first-year students who submitted high school <br/> class rank: </td> <td> 0.1% </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
C,14,C14,Application closing date,"[[{0: '', 1: 'Date'}, {0: 'Application closing date (fall)', 1: '8/1'}, {0: 'Priority Date', 1: '12/15'}]]",<table> <tr> <td> </td> <td> Date </td> </tr> <tr> <td> Application closing date (fall) </td> <td> 8/1 </td> </tr> <tr> <td> Priority Date </td> <td> 12/15 </td> </tr> </table>,142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
D,2,D2,"Provide the number of students who applied, were admitted, and enrolled as degree-seeking transfer","[[{0: 'Transfer Admission', 1: 'Applicants', 2: 'Admitted', 3: 'Enrolled'}, {0: 'Men', 1: '1,192', 2: '992', 3: '620'}, {0: 'Women', 1: '1,845', 2: '1,540', 3: '869'}, {0: 'Another Gender', 1: '', 2: '', 3: ''}, {0: 'Unknown', 1: '', 2: '', 3: ''}, {0: 'Total', 1: '3,037', 2: '2,532', 3: '1,489'}]]","<table> <tr> <td> Transfer Admission </td> <td> Applicants </td> <td> Admitted </td> <td> Enrolled </td> </tr> <tr> <td> Men </td> <td> 1,192 </td> <td> 992 </td> <td> 620 </td> </tr> <tr> <td> Women </td> <td> 1,845 </td> <td> 1,540 </td> <td> 869 </td> </tr> <tr> <td> Another Gender </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Unknown </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Total </td> <td> 3,037 </td> <td> 2,532 </td> <td> 1,489 </td> </tr> </table>",142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
D,9,D9,Rolling,"[[{0: 'Term', 1: 'Priority Date', 2: 'Closing Date', 3: 'Notification Date', 4: 'Reply Date', 5: 'Rolling\nAdmission'}, {0: 'Fall', 1: '2/15', 2: '8/1', 3: '', 4: '5/1', 5: 'X'}, {0: 'Winter', 1: '', 2: '', 3: '', 4: '', 5: ''}, {0: 'Spring', 1: '10/1', 2: '12/1', 3: '', 4: '12/1', 5: 'X'}, {0: 'Summer', 1: '2/15', 2: '8/1', 3: '', 4: '5/1', 5: 'X'}]]",<table> <tr> <td> Term </td> <td> Priority Date </td> <td> Closing Date </td> <td> Notification Date </td> <td> Reply Date </td> <td> Rolling <br/> Admission </td> </tr> <tr> <td> Fall </td> <td> 2/15 </td> <td> 8/1 </td> <td> </td> <td> 5/1 </td> <td> X </td> </tr> <tr> <td> Winter </td> <td> </td> <td> </td> <td> </td> <td> </td> <td> </td> </tr> <tr> <td> Spring </td> <td> 10/1 </td> <td> 12/1 </td> <td> </td> <td> 12/1 </td> <td> X </td> </tr> <tr> <td> Summer </td> <td> 2/15 </td> <td> 8/1 </td> <td> </td> <td> 5/1 </td> <td> X </td> </tr> </table>,142115,../data/cds-docs/2024-2025/142115.pdf,2024-2025
